epoch,eval_loss,learning_rate,loss,step
4.5,,9.127582748244735e-05,6.5128,4500
4.55,,9.117552657973922e-05,6.5266,4550
4.6,,9.107522567703109e-05,6.482,4600
4.65,,9.097492477432298e-05,6.5358,4650
4.7,,9.087462387161485e-05,6.4715,4700
4.75,,9.077432296890673e-05,6.478,4750
4.8,,9.06740220661986e-05,6.4125,4800
4.85,,9.057372116349047e-05,6.4347,4850
4.9,,9.047342026078235e-05,6.3666,4900
4.95,,9.037311935807423e-05,6.3356,4950
5.0,,9.027281845536611e-05,6.3538,5000
5.0,5.806635856628418,,,5000
5.05,,9.017251755265797e-05,6.3518,5050
5.1,,9.007221664994985e-05,6.3597,5100
5.15,,8.997191574724173e-05,6.283,5150
5.2,,8.98716148445336e-05,6.2742,5200
5.25,,8.977131394182549e-05,6.2756,5250
5.3,,8.967101303911736e-05,6.2289,5300
5.35,,8.957071213640923e-05,6.2541,5350
5.4,,8.947041123370111e-05,6.211,5400
5.45,,8.937011033099298e-05,6.2065,5450
5.5,,8.926980942828486e-05,6.2216,5500
5.55,,8.916950852557674e-05,6.228,5550
5.6,,8.906920762286862e-05,6.1574,5600
5.65,,8.896890672016048e-05,6.216,5650
5.7,,8.886860581745236e-05,6.2422,5700
5.75,,8.876830491474424e-05,6.1707,5750
5.8,,8.86680040120361e-05,6.1489,5800
5.85,,8.8567703109328e-05,6.1929,5850
5.9,,8.846740220661986e-05,6.1948,5900
5.95,,8.836710130391174e-05,6.1677,5950
6.0,,8.826680040120362e-05,6.1371,6000
6.0,5.753299713134766,,,6000
6.05,,8.816649949849549e-05,6.1275,6050
6.1,,8.806619859578736e-05,6.1288,6100
6.15,,8.796589769307924e-05,6.0661,6150
6.2,,8.786559679037112e-05,6.1471,6200
6.25,,8.776529588766299e-05,6.1192,6250
6.3,,8.766499498495488e-05,6.0883,6300
6.35,,8.756469408224675e-05,6.0783,6350
6.4,,8.746439317953861e-05,6.0792,6400
6.45,,8.73640922768305e-05,6.0601,6450
6.5,,8.726379137412237e-05,6.0905,6500
6.55,,8.716349047141425e-05,6.1119,6550
6.6,,8.706318956870613e-05,6.0198,6600
6.65,,8.696288866599799e-05,6.0375,6650
6.7,,8.686258776328987e-05,6.02,6700
6.75,,8.676228686058175e-05,6.0113,6750
6.8,,8.666198595787363e-05,6.0293,6800
6.85,,8.65616850551655e-05,6.02,6850
6.9,,8.646138415245739e-05,6.0469,6900
6.95,,8.636108324974925e-05,5.9488,6950
7.0,,8.626078234704112e-05,5.9989,7000
7.0,5.811216831207275,,,7000
7.05,,8.616048144433301e-05,5.9654,7050
7.1,,8.606018054162488e-05,6.0125,7100
7.15,,8.595987963891675e-05,6.0018,7150
7.2,,8.585957873620863e-05,5.963,7200
7.25,,8.575927783350051e-05,6.0124,7250
7.3,,8.565897693079238e-05,6.0032,7300
7.35,,8.555867602808426e-05,5.9364,7350
7.4,,8.545837512537614e-05,5.9267,7400
7.45,,8.5358074222668e-05,5.9237,7450
7.5,,8.52577733199599e-05,5.9718,7500
7.55,,8.515747241725176e-05,5.9099,7550
7.6,,8.505717151454364e-05,5.9473,7600
