epoch,eval_loss,learning_rate,loss,step
0.2,,3.266666666666667e-05,15.8134,50
0.4,,6.6e-05,13.5319,100
0.6,,9.933333333333334e-05,12.7119,150
0.8,,9.960323886639677e-05,11.9011,200
1.0,,9.919838056680163e-05,10.6981,250
1.0,9.538703918457031,,,250
1.2,,9.879352226720648e-05,9.1023,300
1.4,,9.838866396761134e-05,8.6197,350
1.6,,9.79838056680162e-05,8.4588,400
1.8,,9.757894736842106e-05,8.4195,450
2.0,,9.717408906882591e-05,8.3803,500
2.0,8.34982681274414,,,500
2.2,,9.676923076923077e-05,8.3514,550
2.4,,9.636437246963563e-05,8.3151,600
2.6,,9.595951417004048e-05,8.3095,650
2.8,,9.555465587044536e-05,8.2825,700
3.0,,9.51497975708502e-05,8.325,750
3.0,8.253281593322754,,,750
3.2,,9.474493927125507e-05,8.2685,800
3.4,,9.434008097165993e-05,8.288,850
3.6,,9.393522267206479e-05,8.267,900
3.8,,9.353036437246964e-05,8.2616,950
4.0,,9.31255060728745e-05,8.249,1000
4.0,8.235628128051758,,,1000
4.2,,9.272064777327936e-05,8.2457,1050
4.4,,9.231578947368421e-05,8.2221,1100
4.6,,9.191093117408908e-05,8.2409,1150
4.8,,9.150607287449393e-05,8.245,1200
5.0,,9.110121457489879e-05,8.2363,1250
5.0,8.231711387634277,,,1250
5.2,,9.069635627530365e-05,8.2093,1300
5.4,,9.02914979757085e-05,8.2014,1350
5.6,,8.988663967611336e-05,8.2004,1400
5.8,,8.948178137651822e-05,8.2192,1450
6.0,,8.907692307692308e-05,8.1931,1500
6.0,8.21737289428711,,,1500
6.2,,8.867206477732793e-05,8.1598,1550
6.4,,8.82672064777328e-05,8.1718,1600
6.6,,8.786234817813765e-05,8.154,1650
6.8,,8.74574898785425e-05,8.1811,1700
7.0,,8.705263157894738e-05,8.1679,1750
7.0,8.221097946166992,,,1750
7.2,,8.664777327935223e-05,8.1302,1800
7.4,,8.62429149797571e-05,8.1468,1850
7.6,,8.583805668016195e-05,8.1485,1900
7.8,,8.543319838056681e-05,8.124,1950
8.0,,8.502834008097167e-05,8.1382,2000
8.0,8.241121292114258,,,2000
8.2,,8.462348178137652e-05,8.1126,2050
8.4,,8.421862348178138e-05,8.1106,2100
8.6,,8.381376518218624e-05,8.1134,2150
8.8,,8.34089068825911e-05,8.0777,2200
9.0,,8.300404858299595e-05,8.0873,2250
9.0,8.226767539978027,,,2250
9.2,,8.259919028340081e-05,8.0504,2300
9.4,,8.219433198380567e-05,8.0562,2350
9.6,,8.178947368421052e-05,8.0606,2400
9.8,,8.13846153846154e-05,8.0578,2450
10.0,,8.097975708502024e-05,8.0788,2500
10.0,8.189227104187012,,,2500
10.2,,8.05748987854251e-05,8.0062,2550
10.4,,8.017004048582997e-05,8.0639,2600
10.6,,7.976518218623483e-05,8.0315,2650
10.8,,7.936032388663968e-05,8.0095,2700
11.0,,7.895546558704454e-05,8.0028,2750
11.0,8.175960540771484,,,2750
11.2,,7.85506072874494e-05,7.9891,2800
11.4,,7.814574898785425e-05,7.9409,2850
11.6,,7.774089068825912e-05,7.9777,2900
11.8,,7.733603238866397e-05,7.9504,2950
12.0,,7.693117408906883e-05,7.9552,3000
12.0,8.095008850097656,,,3000
12.2,,7.652631578947369e-05,7.8969,3050
12.4,,7.612145748987854e-05,7.9126,3100
12.6,,7.57165991902834e-05,7.8755,3150
12.8,,7.531174089068826e-05,7.8631,3200
13.0,,7.490688259109312e-05,7.8448,3250
13.0,8.02529239654541,,,3250
13.2,,7.450202429149797e-05,7.7816,3300
13.4,,7.409716599190285e-05,7.8083,3350
13.6,,7.36923076923077e-05,7.8168,3400
13.8,,7.328744939271255e-05,7.7694,3450
14.0,,7.288259109311742e-05,7.7792,3500
14.0,7.909202575683594,,,3500
14.2,,7.247773279352226e-05,7.7634,3550
14.4,,7.207287449392714e-05,7.7309,3600
14.6,,7.166801619433199e-05,7.6868,3650
14.8,,7.126315789473685e-05,7.6839,3700
15.0,,7.085829959514171e-05,7.6764,3750
15.0,7.824222087860107,,,3750
15.2,,7.045344129554656e-05,7.6355,3800
15.4,,7.004858299595142e-05,7.6482,3850
15.6,,6.964372469635628e-05,7.6019,3900
15.8,,6.923886639676114e-05,7.6239,3950
16.0,,6.883400809716599e-05,7.573,4000
16.0,7.620888710021973,,,4000
