epoch,eval_loss,learning_rate,loss,step
0.45,,9.799999999999998e-05,15.0845,50
0.91,,0.000198,12.7079,100
1.0,11.846747398376465,,,110
1.36,,0.000298,10.7992,150
1.82,,0.0002972523364485981,8.5584,200
2.0,8.294849395751953,,,220
2.27,,0.0002944485981308411,8.2789,250
2.73,,0.0002916448598130841,8.2231,300
3.0,8.099799156188965,,,330
3.18,,0.00028884112149532706,8.1822,350
3.64,,0.0002860373831775701,8.1558,400
4.0,8.091917037963867,,,440
4.09,,0.00028323364485981304,8.1418,450
4.55,,0.00028042990654205606,8.0604,500
5.0,,0.000277626168224299,8.0802,550
5.0,8.048624992370605,,,550
5.45,,0.00027482242990654204,8.007,600
5.91,,0.000272018691588785,7.8701,650
6.0,7.889843940734863,,,660
6.36,,0.000269214953271028,7.7708,700
6.82,,0.000266411214953271,7.6792,750
7.0,7.575146675109863,,,770
7.27,,0.000263607476635514,7.5764,800
7.73,,0.00026080373831775697,7.3209,850
8.0,7.117930889129639,,,880
8.18,,0.000258,7.048,900
8.64,,0.00025519626168224295,6.9083,950
9.0,6.157404899597168,,,990
9.09,,0.00025239252336448596,6.4848,1000
9.55,,0.00024958878504672893,6.2313,1050
10.0,,0.00024678504672897195,5.9104,1100
10.0,5.423460960388184,,,1100
10.45,,0.00024398130841121494,5.5987,1150
10.91,,0.00024117757009345793,5.5245,1200
11.0,5.119799613952637,,,1210
11.36,,0.00023837383177570092,5.4012,1250
11.82,,0.0002355700934579439,5.13,1300
12.0,4.979689598083496,,,1320
12.27,,0.0002327663551401869,5.0994,1350
12.73,,0.0002299626168224299,4.9604,1400
13.0,4.845314025878906,,,1430
13.18,,0.00022715887850467288,5.0464,1450
13.64,,0.00022435514018691587,4.9895,1500
14.0,4.892597675323486,,,1540
14.09,,0.00022155140186915886,4.7854,1550
14.55,,0.00021874766355140185,4.7868,1600
15.0,,0.00021594392523364484,4.7748,1650
15.0,4.869742393493652,,,1650
15.45,,0.00021314018691588783,4.7192,1700
15.91,,0.00021033644859813082,4.7756,1750
16.0,4.855134963989258,,,1760
16.36,,0.00020753271028037381,4.7691,1800
16.82,,0.0002047289719626168,4.6548,1850
17.0,4.811759948730469,,,1870
17.27,,0.0002019252336448598,4.5996,1900
17.73,,0.00019912149532710279,4.7123,1950
18.0,4.797356128692627,,,1980
18.18,,0.00019631775700934578,4.5664,2000
18.64,,0.00019351401869158877,4.6355,2050
19.0,4.81019401550293,,,2090
19.09,,0.00019071028037383176,4.5977,2100
19.55,,0.00018790654205607475,4.558,2150
20.0,,0.00018510280373831774,4.6118,2200
20.0,4.771999835968018,,,2200
20.45,,0.00018229906542056073,4.5998,2250
20.91,,0.00017949532710280372,4.5079,2300
21.0,4.757390975952148,,,2310
21.36,,0.0001766915887850467,4.5777,2350
21.82,,0.0001738878504672897,4.5705,2400
22.0,4.801973342895508,,,2420
22.27,,0.0001710841121495327,4.5275,2450
22.73,,0.00016828037383177568,4.5145,2500
23.0,4.783125877380371,,,2530
23.18,,0.00016547663551401867,4.4997,2550
23.64,,0.00016267289719626166,4.4843,2600
24.0,4.714391231536865,,,2640
24.09,,0.00015986915887850466,4.5092,2650
24.55,,0.00015706542056074765,4.4919,2700
25.0,,0.00015426168224299064,4.4949,2750
25.0,4.720999240875244,,,2750
25.45,,0.00015145794392523363,4.4904,2800
25.91,,0.00014865420560747662,4.4838,2850
26.0,4.8196282386779785,,,2860
26.36,,0.0001458504672897196,4.4624,2900
26.82,,0.0001430467289719626,4.4742,2950
27.0,4.793403625488281,,,2970
27.27,,0.0001402429906542056,4.4486,3000
27.73,,0.00013743925233644858,4.4462,3050
28.0,4.772233486175537,,,3080
28.18,,0.00013463551401869157,4.4428,3100
28.64,,0.00013183177570093456,4.4404,3150
29.0,4.762481689453125,,,3190
