epoch,eval_loss,learning_rate,loss,step
0.24,,9.799999999999998e-05,14.0155,50
0.47,,0.000198,11.8903,100
0.71,,0.000298,10.6751,150
0.94,,0.0002985933014354067,9.3261,200
1.0,9.064797401428223,,,212
1.18,,0.00029715789473684206,9.1174,250
1.42,,0.0002957224880382775,9.0753,300
1.65,,0.00029428708133971286,9.0421,350
1.89,,0.0002928516746411483,9.0079,400
2.0,8.913493156433105,,,424
2.12,,0.0002914162679425837,8.9448,450
2.36,,0.0002899808612440191,8.8483,500
2.59,,0.0002885454545454545,8.6961,550
2.83,,0.0002871100478468899,8.5159,600
3.0,8.084755897521973,,,636
3.07,,0.0002856746411483253,8.2975,650
3.3,,0.00028423923444976075,8.0193,700
3.54,,0.00028280382775119613,7.6989,750
3.77,,0.00028136842105263156,7.3241,800
4.0,6.013898849487305,,,848
4.01,,0.000279933014354067,6.8911,850
4.25,,0.00027849760765550236,6.4351,900
4.48,,0.0002770622009569378,6.0594,950
4.72,,0.00027562679425837316,5.7832,1000
4.95,,0.0002741913875598086,5.6274,1050
5.0,5.009737491607666,,,1060
5.19,,0.000272755980861244,5.4699,1100
5.42,,0.0002713205741626794,5.372,1150
5.66,,0.0002698851674641148,5.3601,1200
5.9,,0.0002684497607655502,5.2436,1250
6.0,4.800864219665527,,,1272
6.13,,0.0002670143540669856,5.2552,1300
6.37,,0.00026557894736842105,5.178,1350
6.6,,0.00026414354066985643,5.1587,1400
6.84,,0.00026270813397129186,5.1136,1450
7.0,4.761101722717285,,,1484
7.08,,0.00026127272727272723,5.1599,1500
7.31,,0.00025983732057416266,5.0947,1550
7.55,,0.0002584019138755981,5.0874,1600
7.78,,0.00025696650717703346,5.0943,1650
8.0,4.763527870178223,,,1696
8.02,,0.00025553110047846884,5.0715,1700
8.25,,0.0002540956937799043,5.0897,1750
8.49,,0.0002526602870813397,5.0304,1800
8.73,,0.00025122488038277507,5.0616,1850
8.96,,0.0002497894736842105,4.9879,1900
9.0,4.735732078552246,,,1908
9.2,,0.0002483540669856459,5.0042,1950
9.43,,0.0002469186602870813,5.0222,2000
9.67,,0.00024548325358851673,4.9806,2050
9.91,,0.00024404784688995213,5.0051,2100
10.0,4.7273335456848145,,,2120
10.14,,0.00024261244019138753,4.985,2150
10.38,,0.00024117703349282296,5.0031,2200
10.61,,0.00023974162679425836,4.9895,2250
10.85,,0.00023830622009569376,4.9461,2300
11.0,4.732932090759277,,,2332
11.08,,0.00023687081339712917,4.9703,2350
11.32,,0.0002354354066985646,4.9551,2400
11.56,,0.000234,4.9439,2450
11.79,,0.0002325645933014354,4.9551,2500
12.0,4.7493414878845215,,,2544
12.03,,0.0002311291866028708,4.958,2550
12.26,,0.00022969377990430617,4.9209,2600
12.5,,0.00022825837320574163,4.9626,2650
12.74,,0.00022682296650717703,4.9348,2700
12.97,,0.0002253875598086124,4.954,2750
13.0,4.713179588317871,,,2756
13.21,,0.0002239521531100478,4.9309,2800
13.44,,0.00022251674641148326,4.9556,2850
13.68,,0.00022108133971291864,4.8838,2900
13.92,,0.00021964593301435404,4.9078,2950
14.0,4.725420951843262,,,2968
14.15,,0.00021821052631578944,4.8711,3000
14.39,,0.00021677511961722484,4.9164,3050
14.62,,0.00021533971291866027,4.8723,3100
14.86,,0.00021390430622009567,4.9225,3150
15.0,4.725345611572266,,,3180
15.09,,0.00021246889952153107,4.8995,3200
15.33,,0.00021103349282296647,4.919,3250
15.57,,0.0002095980861244019,4.8816,3300
15.8,,0.0002081626794258373,4.8942,3350
16.0,4.722672462463379,,,3392
16.04,,0.0002067272727272727,4.8917,3400
16.27,,0.0002052918660287081,4.8876,3450
16.51,,0.0002038564593301435,4.8405,3500
16.75,,0.00020242105263157894,4.8536,3550
16.98,,0.00020098564593301434,4.8644,3600
17.0,4.695286750793457,,,3604
17.22,,0.00019955023923444974,4.8624,3650
17.45,,0.00019811483253588514,4.8577,3700
17.69,,0.00019667942583732057,4.8403,3750
17.92,,0.00019524401913875597,4.8441,3800
18.0,4.722323417663574,,,3816
18.16,,0.00019380861244019137,4.8485,3850
18.4,,0.00019237320574162677,4.8556,3900
18.63,,0.0001909377990430622,4.823,3950
18.87,,0.0001895023923444976,4.8103,4000
19.0,4.708977699279785,,,4028
19.1,,0.000188066985645933,4.8042,4050
19.34,,0.0001866315789473684,4.7983,4100
19.58,,0.0001851961722488038,4.8223,4150
19.81,,0.00018376076555023924,4.8154,4200
20.0,4.690927028656006,,,4240
20.05,,0.00018232535885167464,4.8212,4250
20.28,,0.00018088995215311004,4.8173,4300
20.52,,0.00017945454545454542,4.8004,4350
20.75,,0.00017801913875598087,4.7864,4400
20.99,,0.00017658373205741627,4.8129,4450
21.0,4.706439971923828,,,4452
21.23,,0.00017514832535885165,4.8087,4500
21.46,,0.00017371291866028705,4.7506,4550
21.7,,0.00017227751196172245,4.7867,4600
21.93,,0.00017084210526315788,4.7689,4650
22.0,4.699546813964844,,,4664
22.17,,0.00016940669856459328,4.8003,4700
22.41,,0.00016797129186602868,4.7577,4750
22.64,,0.00016653588516746408,4.76,4800
22.88,,0.0001651004784688995,4.7586,4850
23.0,4.712939262390137,,,4876
23.11,,0.00016366507177033491,4.7677,4900
23.35,,0.00016222966507177032,4.7304,4950
23.58,,0.00016079425837320572,4.7594,5000
23.82,,0.00015935885167464112,4.7719,5050
24.0,4.683013439178467,,,5088
24.06,,0.00015792344497607655,4.7831,5100
24.29,,0.00015648803827751195,4.7044,5150
24.53,,0.00015505263157894735,4.7436,5200
24.76,,0.00015361722488038275,4.7452,5250
25.0,,0.00015218181818181818,4.7595,5300
25.0,4.659751892089844,,,5300
25.24,,0.00015074641148325358,4.724,5350
25.47,,0.00014931100478468898,4.7262,5400
25.71,,0.00014787559808612438,4.7398,5450
25.94,,0.00014644019138755979,4.7335,5500
26.0,4.674571514129639,,,5512
26.18,,0.0001450047846889952,4.7205,5550
26.42,,0.00014356937799043062,4.7396,5600
26.65,,0.00014213397129186602,4.7117,5650
26.89,,0.00014069856459330142,4.6988,5700
27.0,4.692015647888184,,,5724
27.12,,0.00013926315789473682,4.7065,5750
27.36,,0.00013782775119617225,4.6753,5800
27.59,,0.00013639234449760765,4.6955,5850
27.83,,0.00013495693779904305,4.6852,5900
28.0,4.69383430480957,,,5936
28.07,,0.00013352153110047845,4.7208,5950
28.3,,0.00013208612440191386,4.6733,6000
28.54,,0.00013065071770334928,4.6857,6050
28.77,,0.00012921531100478469,4.6877,6100
29.0,4.676191806793213,,,6148
29.01,,0.0001277799043062201,4.6835,6150
29.25,,0.0001263444976076555,4.6716,6200
29.48,,0.0001249090909090909,4.6659,6250
29.72,,0.0001234736842105263,4.6618,6300
29.95,,0.00012203827751196172,4.6639,6350
30.0,4.693349361419678,,,6360
