epoch,eval_loss,learning_rate,loss,step
0.75,,9.799999999999998e-05,13.8624,50
1.0,11.881309509277344,,,67
1.49,,0.000198,11.6887,100
2.0,10.178972244262695,,,134
2.24,,0.000298,10.4603,150
2.99,,0.00029540625,9.0673,200
3.0,8.903312683105469,,,201
3.73,,0.00029071875,8.8701,250
4.0,8.74724006652832,,,268
4.48,,0.00028603125,8.7981,300
5.0,8.638856887817383,,,335
5.22,,0.00028134374999999996,8.7212,350
5.97,,0.00027665625,8.6102,400
6.0,8.454115867614746,,,402
6.72,,0.00027196874999999997,8.4458,450
7.0,8.176819801330566,,,469
7.46,,0.00026728125,8.2704,500
8.0,7.8684163093566895,,,536
8.21,,0.00026259374999999997,8.0551,550
8.96,,0.00025790625,7.794,600
9.0,7.340178966522217,,,603
9.7,,0.00025321874999999997,7.4107,650
10.0,6.550928592681885,,,670
10.45,,0.00024853125,6.9421,700
11.0,5.773284435272217,,,737
11.19,,0.00024384375,6.4503,750
11.94,,0.00023915625,6.0125,800
12.0,5.131552696228027,,,804
12.69,,0.00023446875,5.5663,850
13.0,4.56821870803833,,,871
13.43,,0.00022978125,5.1942,900
14.0,4.126786231994629,,,938
14.18,,0.00022509375,4.8516,950
14.93,,0.00022040625,4.5779,1000
15.0,3.8476507663726807,,,1005
15.67,,0.00021571875,4.3113,1050
16.0,3.5471208095550537,,,1072
16.42,,0.00021103124999999998,4.1386,1100
17.0,3.3484549522399902,,,1139
17.16,,0.00020634374999999998,3.9488,1150
17.91,,0.00020165624999999999,3.7924,1200
18.0,3.2594804763793945,,,1206
18.66,,0.00019696875,3.7013,1250
19.0,3.2033815383911133,,,1273
19.4,,0.00019228125,3.6102,1300
20.0,3.082430601119995,,,1340
20.15,,0.00018759375,3.5801,1350
20.9,,0.00018290625,3.4653,1400
21.0,3.1002743244171143,,,1407
21.64,,0.00017821875,3.4479,1450
22.0,3.0336098670959473,,,1474
22.39,,0.00017353125,3.3856,1500
23.0,3.0486092567443848,,,1541
23.13,,0.00016884375,3.3635,1550
23.88,,0.00016415625,3.415,1600
24.0,3.0640804767608643,,,1608
24.63,,0.00015946875,3.3105,1650
25.0,3.0050888061523438,,,1675
25.37,,0.00015478125,3.258,1700
26.0,3.0369155406951904,,,1742
26.12,,0.00015009375,3.2577,1750
26.87,,0.00014540624999999997,3.2814,1800
27.0,2.9669349193573,,,1809
27.61,,0.00014071874999999997,3.2595,1850
28.0,2.9487485885620117,,,1876
28.36,,0.00013603124999999998,3.2236,1900
29.0,2.967125177383423,,,1943
29.1,,0.00013134374999999998,3.201,1950
29.85,,0.00012665624999999998,3.2392,2000
30.0,2.981308698654175,,,2010
30.6,,0.00012196875,3.2046,2050
31.0,2.950899124145508,,,2077
31.34,,0.00011728124999999998,3.1644,2100
32.0,3.010655164718628,,,2144
32.09,,0.00011259374999999998,3.1542,2150
32.84,,0.00010790624999999998,3.1425,2200
33.0,2.995314836502075,,,2211
